Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9734513274336283,1.0,0.9166666666666666,0.9565217391304348
KNN,0.9646017699115044,1.0,0.8888888888888888,0.9411764705882353
Decision Tree,0.911504424778761,0.8421052631578947,0.8888888888888888,0.8648648648648649
